time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.29445e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.312243	0.58034	0	-2.60209e-17	0	radar	1.39069e-309	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15532	0.483257	0.267563	1.73472e-18	0	lidar	1.29445e-321	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.16335	0.483257	0.267563	3.46945e-18	-1.11022e-16	radar	1.39069e-309	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.55606	0.553711	3.51195	0.051199	0.0360913	lidar	1.29445e-321	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.65296	0.558764	3.51195	0.0530035	0.0360913	radar	1.39069e-309	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.1189	0.629152	6.16441	0.262837	0.308951	lidar	1.29445e-321	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.32976	0.687346	6.16441	0.278285	0.308951	radar	1.39069e-309	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.63582	0.66815	6.79895	0.13813	-0.0400412	lidar	1.29445e-321	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.94167	0.70817	6.79895	0.136128	-0.0400412	radar	1.39069e-309	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.05089	0.652572	5.39172	0.0327877	-0.513581	lidar	1.29445e-321	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.29667	0.656143	5.39172	0.00710861	-0.513581	radar	1.39069e-309	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.82729	0.364673	7.59907	-0.542643	-2.85255	lidar	1.29445e-321	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.10688	0.166922	7.59907	-0.685271	-2.85255	radar	1.39069e-309	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.34637	0.488863	5.1843	-0.150567	-0.0892767	lidar	1.29445e-321	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.58603	0.451658	5.1843	-0.155031	-0.0892767	radar	1.39069e-309	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
